M Sanchis-Agudo;Y Wang;K Duraisamy;R Vinuesa;;
R Arnau;N Jonard-Perez;EAS Perez;;;
;;;;;
AR Arnau Notari;JM Calabuig;C Catalan;LM Garcia Raffi;JM Pardo Gila;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;
R Arnau;JM Calabuig;LM Garcia-Raffi;EAS Perez;S Sanjuan;
;;;;;
R Arnau;EAS Perez;;;;
R Arnau;JM Calabuig;EAS Perez;;;
R Arnau;JM Calabuig;EAS Perez;;;
S Sanjuan;DA Mendez;R Arnau;JM Calabuig;X Aguirre;F Estelles
R Arnau;JM Calabuig;EAS Perez;;;
R Arnau;EAS Perez;S Sanjuan;;;
R Arnau;JM Calabuig;A Gonzalez;EAS Perez;;
R Arnau;LM Garcia Raffi;JM Calabuig;;;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;
