A Bonilla;KG Grosse Erdmann;A Lopez Martinez;A Peris
S Grivaux;A Lopez Martinez;;
S Grivaux;A Lopez Martinez;A Peris;
A Lopez Martinez;;;
A Lopez Martinez;D Papathanasiou;;
A Lopez Martinez;Q Menet;;
A Lopez Martinez;;;
S Grivaux;A Lopez Martinez;A Peris;
A Lopez Martinez;;;
I Alvarez;A Lopez Martinez;A Peris;
A Lopez Martinez;;;
S Grivaux;A Lopez Martinez;A Peris;
A Lopez Martinez;;;
A Lopez Martinez;;;
TD de Schwartz;JA Conejero;L Goiriz;A Lopez Martinez
JA Conejero;L Goiriz;A Lopez Martinez;
A Lopez Martinez;;;
