JA Conejero;C Lizama;F Rodenas;;;
P Mayo;F Rodenas;D Ginestar;G Verdu;;
JA de Azcarraga;PP Kulish;F Rodenas;;;
JA de Azcarraga;PP Kulish;F Rodenas;;;
MG Sanchez;B Juste;V Vidal;G Verdu;P Mayo;F Rodenas
P Mayo;F Rodenas;G Verdu;JI Villaescusa;;
JA de Azcarraga;PP Kulish;F Rodenas;;;
F Rodenas;;;;;
MG Sanchez;B Juste;V Vidal;G Verdu;P Mayo;F Rodenas
P Mayo;F Rodenas;G Verdu;JI Villaescusa;JM Campayo;
LA Flores;V Vidal;P Mayo;F Rodenas;G Verdu;
F Martinez Gimenez;A Peris;F Rodenas;;;
S Bartoll;F Martinez Gimenez;A Peris;F Rodenas;;
P Mayo;F Rodenas;G Verdu;;;
JA Antonino Daviu;F Martinez Gimenez;A Peris;N Ramezanzadeh;F Rodenas;
LA Flores;V Vidal;P Mayo;F Rodenas;G Verdu;
LA Flores;V Vidal;P Mayo;F Rodenas;G Verdu;
P Mayo;F Rodenas;G Verdu;JM Campayo;;
JA Conejero;F Martinez Gimenez;A Peris;F Rodenas;;
LA Flores;V Vidal;P Mayo;F Rodenas;G Verdu;
JA Conejero;C Lizama;F Rodenas;;;
JA Conejero;F Rodenas;M Trujillo;;;
P Mayo;F Rodenas;JM Campayo;B Marin;G Verdu;
JA de Azcarraga;PP Kulish;F Rodenas;;;
P Mayo;F Rodenas;JM Campayo;G Verdu;;
P Mayo;F Rodenas;G Verdu;JI Villaescusa;JM Campayo;
S Bartoll;F Martinez Gimenez;A Peris;F Rodenas;;
M Guadalupe Sanchez;V Vidal;G Verdu;P Mayo;F Rodenas;
MC Gomez Collado;F Martinez Gimenez;A Peris;F Rodenas;;
JA de Azcarraga;F Rodenas;;;;
LA Flores;V Vidal;P Mayo;F Rodenas;G Verdu;
P Mayo;F Rodenas;JM Campayo;A Pascual;B Marin;G Verdu
JA Conejero;F Martinez Gimenez;A Peris;F Rodenas;;
P Mayo;F Rodenas;JM Campayo;A Pascual;B Marin;G Verdu
M Chaichian;JA de Azcarraga;P Presnajder;F Rodenas;;
Bernardes NC;A Peris;F Rodenas;;;
P Mayo;F Rodenas;G Verdu;JM Campayo;JI Villaescusa;
P Mayo;F Rodenas;D Ginestar;G Verdu; R Miro;
P Mayo;F Rodenas;B Marin;JM Campayo;G Verdu;
LA Flores;V Vidal;P Mayo;F Rodenas;G Verdu;
P Mayo;F Rodenas;G Verdu;JM Campayo;S Gallardo;
P Mayo;F Rodenas;G Verdu;JM Campayo;JI Villaescusa;
JA de Azcarraga;PP Kulish;F Rodenas;;;
