C Archetti;A Corberan;I Plana;JM Sanchis;MG Speranza;
A Corberan;E Fernandez;C Franquesa;JM Sanchis;;
JF Campbell;A Corberan;I Plana;JM Sanchis;;
A Corberan;AN Letchford;JM Sanchis;;;
A Corberan;I Plana;M Reula;JM Sanchis;;
M Colombi;A Corberan;R Mansini;I Plana;JM Sanchis;
N Bianchessi;A Corberan;I Plana;M Reula;JM Sanchis;
M Colombi;A Corberan;R Mansini;I Plana;JM Sanchis;
J Campbell;A Corberan;I Plana;JM Sanchis;P Segura;
A Corberan;R Eglese;G Hasle;I Plana;JM Sanchis;
E Benavent;A Corberan;E Pinana;I Plana;JM Sanchis;
A Corberan;I Plana;JM Sanchis;;;
E Benavent;A Corberan;I Plana;JM Sanchis;;
A Corberan;M Oswald;I Plana;G Reinelt;JM Sanchis;
T Avila;A Corberan;I Plana;JM Sanchis;;
A Corberan;A Romero;JM Sanchis;;;
A Corberan;E Mota;JM Sanchis;;;
C Archetti;A Corberan;I Plana;JM Sanchis;MG Speranza;
P de Cordoba;LM Garcia Raffi;JM Sanchis;A Ferrando;;
C Archetti;MG Speranza;A Corberan;JM Sanchis;I Plana;
E Benavent;A Corberan;I Plana;JM Sanchis;;
T Avila;A Corberan;I Plana;JM Sanchis;;
A Corberan;I Plana;JM Sanchis;;;
T Corberan;I Plana;JM Sanchis;;;
A Corberan;I Plana;JM Sanchis;P Segura;;
T Corberan;I Plana;JM Sanchis;P Segura;;
E Benavent;A Corberan;G Desaulniers;F Lessard;I Plana;JM Sanchis
A Corberan;I Plana;JM Sanchis;;;
JF Campbell;A Corberan;I Plana;JM Sanchis;P Segura;
A Corberan;R Marti;JM Sanchis;;;
A Corberan;G Erdogan;G Laporte;I Plana;JM Sanchis;
A Corberan;G Mejia;JM Sanchis;;;
J Albiach;JM Sanchis;D Soler;;;
A Corberan;JM Sanchis;;;;
N Bianchessi;A Corberan;I Plana;M Reula;JM Sanchis;
E Benavent;A Carrotta;A Corberan;JM Sanchis;D Vigo;
M Colombi;A Corberan;R Mansini;I Plana;JM Sanchis;
T Avila;A Corberan;I Plana;JM Sanchis;;
J Campbell;A Corberan;I Plana;JM Sanchis;P Segura;
E Benavent;A Corberan;JM Sanchis;;;
T Avila;A Corberan;I Plana;JM Sanchis;;
F Sanchez;JM Sanchis;;;;
T Avila;A Corberan;I Plana;JM Sanchis;;
A Corberan;I Plana;AM Rodriguez Chia;JM Sanchis;;
A Corberan;I Plana;M Reula;JM Sanchis;;
A Corberan;B Golden;O Lum;I Plana;JM Sanchis;
A Corberan;JM Sanchis;;;;
M Landete;I Plana;JL Sainz Pardo;JM Sanchis;;
P de Cordoba;LM Garcia Raffi;JM Sanchis;;;
