A Defant;D Garcia;M Maestre;P Sevilla Peris;
L Jodar;P Sevilla Peris;JC Cortes;R Sala;
A Defant;P Sevilla Peris;;;
V Dimant;P Sevilla Peris;;;
JC Cortes;P Sevilla Peris;L Jodar;;
A Defant;P Sevilla Peris;;;
F Bayart;A Defant;L Frerick;M Maestre;P Sevilla Peris
D Garcia;M Maestre;P Sevilla Peris;;
DG Carando;D Garcia Rodriguez;M Maestre Vera;P Sevilla Peris;
D Carando;V Dimant;P Sevilla Peris;;
A Defant;P Sevilla Peris;;;
D Carando;P Sevilla Peris;;;
D Carando;A Defant;P Sevilla Peris;;
A Defant;D Garcia;M Maestre;P Sevilla Peris;
D Carando;V Dimant;P Sevilla Peris;;
JC Cortes;L Jodar;R Sala;P Sevilla Peris;
D Garcia;M Maestre;P Sevilla Peris;;
F Bayart;J Castillo Medina;D Garcia;M Maestre;P Sevilla Peris
D Galicer;S Muro;P Sevilla Peris;;
D Carando;A Defant;D Garcia;M Maestre;P Sevilla Peris
D Carando;A Defant;P Sevilla Peris;;
D Carando;F Marceca;P Sevilla Peris;;
A Defant;U Schwarting;P Sevilla Peris;;
D Jornet;D Santacreu;P Sevilla Peris;;
A Defant;A Perez;P Sevilla Peris;;
D Carando;A Defant;P Sevilla Peris;;
D Carando;A Defant;P Sevilla Peris;;
A Defant;M Maestre;P Sevilla Peris;;
D Jornet;D Santacreu;P Sevilla Peris;;
D Carando;D Garcia;M Maestre;P Sevilla Peris;
J Bonet;D Jornet;P Sevilla Peris;;
D Carando;M Mazzitelli;P Sevilla Peris;;
JA Conejero;JB Seoane Sepulveda;P Sevilla Peris;;
A Defant;P Sevilla Peris;;;
D Carando;V Dimant;P Sevilla Peris;;
JC Cortes;P Sevilla Peris;L Jodar;;
A Defant;T Fernandez Vidal;I Schoolmann;P Sevilla Peris;
D Carando;V Dimant;P Sevilla Peris;R Villafane;
D Carando;P Sevilla Peris;;;
V Dimant;D Garcia;M Maestre;P Sevilla Peris;
D Carando;A Defant;P Sevilla Peris;;
P Sevilla Peris;;;;
D Galicer;M Mansilla;S Muro;P Sevilla Peris;
T Fernandez Vidal;D Galicer;M Mereb;P Sevilla Peris;
A Defant;L Frerick;M Maestre;P Sevilla Peris;
L Jodar;JC Cortes;P Sevilla;L Villafuerte;
S Dineen;P Sevilla Peris;;;
J Bonet;D Jornet;D Santacreu;P Sevilla Peris;
T Fernandez Vidal;D Galicer;P Sevilla Peris;;
TF Vidal;D Galicer;P Sevilla Peris;;
M Mackey;P Sevilla Peris;JA Vallejo;;
D Carando;P Sevilla Peris;;;
D Carando;A Defant;F Marceca;I Schoolmann;P Sevilla Peris
A Defant;D Garcia;M Maestre;P Sevilla Peris;
D Carando;D Galicer;S Muro;P Sevilla Peris;
A Defant;P Sevilla Peris;;;
M Guillen;P Sevilla Peris;;;
MG Sanchez;MM Vera;P Sevilla Peris;;
J Bonet;D Jornet;P Sevilla Peris;;
J Bonet;D Jornet;P Sevilla Peris;;
J Bonet;D Jornet;P Sevilla Peris;;
J Bonet;D Jornet;P Sevilla Peris;;
J Bonet;D Jornet;P Sevilla Peris;;
J Bonet;D Jornet;P Sevilla Peris;;
D Carando;F Marceca;P Sevilla Peris;;
T Fernandez Vidal;D Galicer;P Sevilla Peris;;
J Chirinos;E Gonzalez;N Gonzalez;A Lopez Martinez;H Mendez
E Cotterill;A Defant;P Sevilla Peris;S Dragomir;R Petit
D Carando;D Garcia;M Maestre;P Sevilla Peris;
F Albiac;E Briem;V Baranovsky;V Ginzburg;J Pecharich
L Villafuerte;JC Cortes;L Jodar;P Sevilla Peris;
D Carando;D Galicer;S Muro;P Sevilla Peris;
D Galicer;M Mansilla;S Muro;P Sevilla Peris;
V Dimant;D Garcia;M Maestre;P Sevilla Peris;
D Galicer;M Mansilla;S Muro;P Sevilla Peris;
J Betancor;G Munoz;I Parissis;P Sevilla Peris;
