title,journal,year,otros_investigadores
Square-free class sizes in products of groups,Journal of Algebra,2017.0,MJ Felipe;A Martinez-Pastor;VM Ortiz-Sotomayor
Prime power indices in factorised groups,Mediterranean Journal of Mathematics,2017.0,MJ Felipe;A Martinez-Pastor;VM Ortiz-Sotomayor
Zeros of irreducible characters in factorised groups,Annali di Matematica Pura ed Applicata,2019.0,MJ Felipe;A Martinez-Pastor;VM Ortiz-Sotomayor
The prime graph on class sizes of a finite group has a bipartite complement,Journal of Algebra,2020.0,S Dolfi;E Pacifici;L Sanus;V Sotomayor
Analisis de la ansiedad matematica en futuros emprendedores,Innovaciones docentes en tiempos de pandemia. Actas del VI congreso ...,2021.0,M Maldonado;V Sotomayor
On finite groups with square-free conjugacy class sizes,International Journal of Group Theory,2018.0,MJ Felipe;A Martinez-Pastor;VM Ortiz-Sotomayor
Groups whose prime graph on class sizes has a cut vertex,Israel Journal of Mathematics,2021.0,S Dolfi;E Pacifici;L Sanus;V Sotomayor
On zeros of irreducible characters lying in a normal subgroup,Annali di Matematica Pura ed Applicata,2020.0,MJ Felipe;N Grittini;V Sotomayor
Non-solvable groups whose character degree graph has a cut-vertex. I,Vietnam Journal of Mathematics,2023.0,S Dolfi;E Pacifici;L Sanus;V Sotomayor
On products of groups and indices not divisible by a given prime,Monatshefte fur Mathematik,2020.0,MJ Felipe;LS Kazarin;A Martinez-Pastor;V Sotomayor
Products of Groups and Class Sizes of -Elements,Mediterranean Journal of Mathematics,2020.0,MJ Felipe;A Martinez-Pastor;VM Ortiz-Sotomayor
"Jugando con la Teoria de Grupos: rompecabezas, puzzles y otros entretenimientos matematicos",Modelling in Science Education and Learning,2018.0,MJ Felipe;V Sotomayor
On G-character tables for normal subgroups,Quaestiones Mathematicae,2023.0,MJ Felipe;MD Perez-Ramos;V Sotomayor
Finite groups whose prime graph on class sizes is a block square,Communications in Algebra,2022.0,V Sotomayor
Analisis de estructuras algebraicas mediante la modelizacion de puzzles y rompecabezas,IN-RED,2018.0,MJ Felipe Roman;V Sotomayor
Clases de conjugacion y grupos factorizados,Universitat Politecnica de Valencia,2016.0,VM Ortiz Sotomayor
Groups Whose Common Divisor Graph on p-Regular Classes has Diameter Three,Mediterranean Journal of Mathematics,2025.0,MJ Felipe;MK Jean-Philippe;V Sotomayor
Codes in algebras of direct products of groups and associated quantum codes,arXiv preprint arXiv:,2024.0,M Sales;X Soler-Escriva;V Sotomayor
A completeness criterion for the common divisor graph on -regular class sizes,arXiv preprint arXiv:,2024.0,V Sotomayor
On -character tables for normal subgroups,"arXiv e-prints, arXiv:",2024.0,M Jose Felipe;MD Perez-Ramos;V Sotomayor
Determining hypercentral Hall subgroups in finite groups,Bulletin of the Malaysian Mathematical Sciences Society,2024.0,V Sotomayor
Classification of groups with triangle-free graphs on p-regular classes,arXiv preprint arXiv:,2024.0,MJ Felipe;MK Jean-Philippe;V Sotomayor
Classification of groups whose common divisor graph on -regular classes has no triangles,"arXiv e-prints, arXiv:",2024.0,M Jose Felipe;MK Jean-Philippe;V Sotomayor
Finite groups and the class-size prime graph revisited,arXiv preprint arXiv:,2022.0,V Sotomayor
Estrategias de co-ensenanza: matematicas y economia,Suma,2022.0,M Maldonado Devis;V Sotomayor
On the prime graph associated with class sizes of a finite group,TEMat monograficos,2021.0,V Sotomayor
Last row effect:¿ influye el sitting en los resultados del estudiante?,IN-RED,2021.0,V Sotomayor;M Maldonado;J Villagrasa
Grafo asociado a los tamanos de las clases de conjugacion de un grupo finito,TEMat: Divulgacion de trabajos de estudiantes de matematicas,2020.0,V Sotomayor
Conjugacy classes and factorised groups,Universitat Politecnica de Valencia,2019.0,VM Ortiz Sotomayor
Recursos computacionales algebraicos en el Grado en Matematicas,Universidad de Alicante. Instituto de Ciencias de la Educacion,2019.0,VM Ortiz Sotomayor;X Soler-Escriva
Experiencies educatives tecniques computacionals en les assignatures d'Algebra de la titulacio de Matematiques,Universitat d’Alacant. Institut de Ciencies de l’Educacio,2019.0,C Alonso-Gonzalez;R Guerrero Frances;MA Navarro-Perez;...
"Numeros enteros, relojes y criptografia",Pi-InnovaMath,2019.0,MJ Felipe Roman;FJ Monserrat Delpalillo;V Sotomayor
Zeros of irreducible characters in factorised groups,,2019.0,V Sotomayor;MJ Felipe Roman;A Martinez-Pastor
"Numeros enteros, relojes y criptografia",Pi-InnovaMath,2019.0,MJ Felipe;F Monserrat;VMO Sotomayor
Influencia de los tamanos de clase en grupos finitos,TEMat: Divulgacion de trabajos de estudiantes de matematicas,2017.0,VM Ortiz Sotomayor
Clases de conjugacion y grupos factorizados,,2016.0,VMO Sotomayor
Analisis de la ansiedad matematica en futuros emprendedores,,,M Maldonado;V Sotomayor
