"","UMAP1","UMAP2"
"1",-1.69974076657705,-6.5374234826513
"2",-2.37475610411849,-6.38279792324749
"3",-2.80724725730866,-5.33428174457853
"4",-2.97783014394649,-5.68088866844339
"5",-1.41632639383935,-2.96923539284417
"6",4.3648509096244,9.97613991283256
"7",4.31153828223078,9.33508195945823
"8",-1.96082228038953,-5.84760056934491
"9",3.5259477502341,9.62544509190962
"10",-2.75158202242701,-4.49910480759267
"11",3.30028727970471,9.91527009301475
"12",4.2456817794029,8.90441204087373
"13",3.32367213655522,10.34010841986
"14",4.46704763452444,8.63263264978689
"15",-1.78955954498841,-3.38965141024333
"16",-0.992591124707436,-4.8685154643714
"17",3.77986317652403,10.352016275084
"18",-0.923399113297662,-2.54435834047323
"19",-1.07288223558374,-3.07158498209882
"20",-1.32318903972319,-5.40239746583317
"21",-1.29827226975892,-6.2459117298127
"22",4.66090773012847,9.7288197632091
"23",-1.72055135030586,-5.06175133720888
"24",-2.37290281985578,-3.89980138546766
"25",-2.01944956459169,-4.37920084390123
"26",-2.55727848829288,-6.0828085460859
"27",-0.862262897156698,-3.82597019452049
"28",-1.94491938330174,-6.744387519159
"29",2.66764016063183,9.81039108480601
"30",-1.45990991110397,-4.23685995101089
"31",-1.9947402155829,-3.83941072569408
"32",4.15224826242913,10.1611730490948
"33",3.5789465176383,8.76791781410269
"34",-3.41661350256823,-6.07891839154554
"35",-3.07889568657868,-6.2737654322992
"36",-1.65667155884672,-5.99017848024359
"37",-0.670008186365997,-2.50577952373354
"38",2.78503182289058,10.2371961942571
"39",3.85991784648628,9.21728238836208
"40",-2.3308134832198,-6.89787720268828
"41",-0.833012029590955,-2.24771639690616
"42",-2.71735391497734,-4.16570882465201
